pincode,Address1,Address2,State,City,latitude,longitude,District,Village Panchayat,school,Type
600001,Wal Tax Road,Tamil Nadu,TN,Chennai,13.0656,80.2672,Coimbatore,Coimbatore,MPS Nadur,Primary School
600001,Madras Gpo,Tamil Nadu,TN,Chennai,13.0656,80.2672,Coimbatore,Coimbatore,MPS Nadur,Primary School
600001,Flower Bazar,Tamil Nadu,TN,Chennai,13.0656,80.2672,Coimbatore,Coimbatore,MPS Nadur,Primary School
600001,M P T Admn Office,Tamil Nadu,TN,Chennai,13.0656,80.2672,Coimbatore,Coimbatore,MPS Nadur,Primary School
600043,Rajainagar,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Pallavaram Mpl,MUNICIPAL PRIMARY SCHOOL,Primary School
600044,Radhanagar,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Pallavaram Mpl,PALLAVAPURAM MUNICIPAL HIGHER SEC SCHOOL,High School
600044,Radhanagar,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Pallavaram Mpl,P M P SCHOOL ZAMEEN RAYAPETTAI,Primary School
600044,Bharathipuram,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Pallavaram Mpl,PALLAVAPURAM MUNICIPAL HIGHER SEC SCHOOL,High School
600044,Bharathipuram,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Pallavaram Mpl,P M P SCHOOL ZAMEEN RAYAPETTAI,Primary School
600045,Tambaram West,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,MUNICIPAL MIDDLE SCHOOL,Primary School
600045,Tambaram West,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,MUNICIPAL PRIMARY SCHOOL,Primary School
600045,Tambaram West,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,GOVT MPL HRSEC SCHOOL,High School
600045,Tambaram West,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,TAMBARAM MUNCIPAL MIDDLE SCHOOL,Primary School
600045,Tambaram H O,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,MUNICIPAL MIDDLE SCHOOL,Primary School
600045,Tambaram H O,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,MUNICIPAL PRIMARY SCHOOL,Primary School
600045,Tambaram H O,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,GOVT MPL HRSEC SCHOOL,High School
600045,Tambaram H O,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,TAMBARAM MUNCIPAL MIDDLE SCHOOL,Primary School
600054,Central Vehicle Research,Tamil Nadu,TN,Chennai,13.0385,80.2345,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,Primary School
600059,Lic Colony Tambaram,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,MUNICIPAL MIDDLE SCHOOL,Primary School
600059,Railway Colony,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,MUNICIPAL MIDDLE SCHOOL,Primary School
600059,Tambaram East,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,MUNICIPAL MIDDLE SCHOOL,Primary School
600059,Ganapathipuram,Tamil Nadu,TN,Chennai,13.0385,80.2345,Kancheepuram,Tambaram,MUNICIPAL MIDDLE SCHOOL,Primary School
603001,Chengalpattu R S,Tamil Nadu,TN,Chengai Anna,12.5576,80.0556,Kancheepuram,Chengalpattu,MUNICIPAL PRIMARY SCHOOL,Primary School
603001,Chengalpattu H O,Tamil Nadu,TN,Chengai Anna,12.5576,80.0556,Kancheepuram,Chengalpattu,MUNICIPAL PRIMARY SCHOOL,Primary School
603001,Chengalpattu Medical College,Tamil Nadu,TN,Chengai Anna,12.5576,80.0556,Kancheepuram,Chengalpattu,MUNICIPAL PRIMARY SCHOOL,Primary School
603001,Alagesa Nagar,Tamil Nadu,TN,Chengai Anna,12.5576,80.0556,Kancheepuram,Chengalpattu,MUNICIPAL PRIMARY SCHOOL,Primary School
603002,Chengalpattu Bazaar,Tamil Nadu,TN,Chengai Anna,12.5576,80.0556,Kancheepuram,Chengalpattu,VADAMALAI MIDDLE SCHOOL,Primary School
603002,Chengalpattu Bus Stand,Tamil Nadu,TN,Chengai Anna,12.5576,80.0556,Kancheepuram,Chengalpattu,VADAMALAI MIDDLE SCHOOL,Primary School
603002,Chengalpattu Cutcherry,Tamil Nadu,TN,Chengai Anna,12.5576,80.0556,Kancheepuram,Chengalpattu,VADAMALAI MIDDLE SCHOOL,Primary School
607001,Fort Saint David,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL PRIMARY SCHOOL VANNIARPALYAM,Primary School
607001,Fort Saint David,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL MIDDLE SCHOOL DEVANAMPATTINAM,Secondary School
607001,Fort Saint David,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL PRIMARY SCHOOL KARUMARA PETTAI,Primary School
607001,Fort Saint David,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL PRIMARY SCHOOL ESWARAN KOIL,Primary School
607001,Fort Saint David,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,PRIMARY SCHOOL VENUGOPALAPURAM,Primary School
607001,Fort Saint David,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL MIDDLE SCHOOL,Secondary School
607001,Fort Saint David,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNCIPAL PRIMARY SCHOOL,Primary School
607001,Bharathi Road,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL PRIMARY SCHOOL VANNIARPALYAM,Primary School
607001,Bharathi Road,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL MIDDLE SCHOOL DEVANAMPATTINAM,Secondary School
607001,Bharathi Road,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL PRIMARY SCHOOL KARUMARA PETTAI,Primary School
607001,Bharathi Road,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL PRIMARY SCHOOL ESWARAN KOIL,Primary School
607001,Bharathi Road,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,PRIMARY SCHOOL VENUGOPALAPURAM,Primary School
607001,Bharathi Road,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNICIPAL MIDDLE SCHOOL,Secondary School
607001,Bharathi Road,Tamil Nadu,TN,South Arcot,11.7333,79.7833,Cuddalore,Cuddalore,MUNCIPAL PRIMARY SCHOOL,Primary School
610002,Dakshinamurthy Mutt,Tamil Nadu,TN,Thanjavur,10.7042,79.5208,Thiruvarur,Thiruvarur,MUNICIPAL PRIMARY SCHOOL KODIKKALPALAYAM,Primary School
612001,Banadurai,Tamil Nadu,TN,Thanjavur,11.2167,79.45,Thanjavur,Kumbakonam,NVN MUNICIPAL PRIMARY SCHOOL,Primary School
622001,Gandhi Nagar,Tamil Nadu,TN,Pudukottai,13.0064,80.2542,Pudukkottai,Pudukkottai,MUNICIPAL MIDDLE SCHOOL SANTHIPETTAI,Primary School
622001,Bhuvaneswari Nagar,Tamil Nadu,TN,Pudukottai,9.7693,78.1427,Pudukkottai,Pudukkottai,MUNICIPAL MIDDLE SCHOOL SANTHIPETTAI,Primary School
622001,Ganesh Nagar,Tamil Nadu,TN,Pudukottai,9.7693,78.1427,Pudukkottai,Pudukkottai,MUNICIPAL MIDDLE SCHOOL SANTHIPETTAI,Primary School
622001,Machuvadi,Tamil Nadu,TN,Pudukottai,9.7693,78.1427,Pudukkottai,Pudukkottai,MUNICIPAL MIDDLE SCHOOL SANTHIPETTAI,Primary School
623701,Emaneswaram,Tamil Nadu,TN,Ramnad,9.5958,78.7333,Ramanathapuram,Paramakudi,"MUNICIPAL PRIMARY SCHOOL, GANDHI NAGAR",Primary School
623701,Emaneswaram,Tamil Nadu,TN,Ramnad,9.5958,78.7333,Thiruvallur,Avadi,AVADI MUNICIPAL ELEMENTARY SCHOOL,Elementary School
623701,Emaneswaram,Tamil Nadu,TN,Ramnad,9.5958,78.7333,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,Primary School
623701,Emaneswaram,Tamil Nadu,TN,Ramnad,9.5958,78.7333,Ramanathapuram,Paramakudi,"MUNICIPAL PRIMARY SCHOOL, JEEVANAGAR",Primary School
623701,Emaneswaram,Tamil Nadu,TN,Ramnad,9.5958,78.7333,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,Middle School
623701,Emaneswaram,Tamil Nadu,TN,Ramnad,9.5958,78.7333,Ramanathapuram,Paramakudi,"MUNICIPAL PRIMARY SCHOOL, EMANESWARAM",Primary School
623701,Emaneswaram,Tamil Nadu,TN,Ramnad,9.5958,78.7333,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,Primary School
